,ACCOUNT_STATUS,DURATION,CREDIT_AMOUNT,SAVINGS,EMPLOYMENT_SINCE,INSTALLMENT_RATE,RESIDENCE_SINCE,AGE,EXISTING_CREDIT,JOB,OBLIGORS,TELEPHONE,FOREIGN,DEBTOR_STATUS,CREDIT_HISTORY_CRITICAL_ACCOUNT,CREDIT_HISTORY_DELAYED_REPAYMENT,CREDIT_HISTORY_NO_CREDITS,CREDIT_HISTORY_PAID_BACK_OTHER_BANK,CREDIT_HISTORY_PAID_BACK_THIS_BANK,PURPOSE_BUSINESS,PURPOSE_CAR_NEW,PURPOSE_CAR_USED,PURPOSE_DOMESTIC_APPLIANCES,PURPOSE_EDUCATION,PURPOSE_FURNITURE_EQUIPMENT,PURPOSE_OTHERS,PURPOSE_RADIO_TELEVISION,PURPOSE_REPAIRS,PURPOSE_RETRAINING,PERSONAL_STATUS_FEMALE_MARRIED,PERSONAL_STATUS_MALE_DIVORCED,PERSONAL_STATUS_MALE_MARRIED,PERSONAL_STATUS_MALE_SINGLE,GUARANTORS_CO_APPLICANT,GUARANTORS_GUARANTOR,GUARANTORS_NONE,PROPERTY_LIFE_INSURANCE,PROPERTY_OTHER,PROPERTY_REAL_ESTATE,PROPERTY_UNKNOWN,OTHER_INSTALLMENTS_BANK,OTHER_INSTALLMENTS_NONE,OTHER_INSTALLMENTS_STORES,HOUSING_FREE,HOUSING_OWN,HOUSING_RENT
0,1,6,1169,0,4,4,4,67,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
1,2,48,5951,1,2,2,2,22,1,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
2,0,12,2096,1,3,2,3,49,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
3,1,42,7882,1,3,2,4,45,1,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0
4,1,24,4870,1,2,3,4,53,2,2,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0
5,0,36,9055,0,2,2,4,35,1,1,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0
6,0,24,2835,3,4,3,4,53,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0
7,2,36,6948,1,2,2,2,35,1,3,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
8,0,12,3059,4,3,2,4,61,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
9,2,30,5234,1,0,4,2,28,2,3,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
