Feature,Importance
ACCOUNT_STATUS,1.0
PURPOSE_FURNITURE_EQUIPMENT,0.0
PURPOSE_RADIO_TELEVISION,0.0
PURPOSE_REPAIRS,0.0
PURPOSE_RETRAINING,0.0
PERSONAL_STATUS_FEMALE_MARRIED,0.0
PERSONAL_STATUS_MALE_DIVORCED,0.0
PERSONAL_STATUS_MALE_MARRIED,0.0
PERSONAL_STATUS_MALE_SINGLE,0.0
GUARANTORS_CO_APPLICANT,0.0
GUARANTORS_GUARANTOR,0.0
GUARANTORS_NONE,0.0
PROPERTY_LIFE_INSURANCE,0.0
PROPERTY_OTHER,0.0
PROPERTY_REAL_ESTATE,0.0
PROPERTY_UNKNOWN,0.0
OTHER_INSTALLMENTS_BANK,0.0
OTHER_INSTALLMENTS_NONE,0.0
OTHER_INSTALLMENTS_STORES,0.0
HOUSING_FREE,0.0
HOUSING_OWN,0.0
PURPOSE_OTHERS,0.0
PURPOSE_EDUCATION,0.0
DURATION,0.0
PURPOSE_DOMESTIC_APPLIANCES,0.0
CREDIT_AMOUNT,0.0
SAVINGS,0.0
EMPLOYMENT_SINCE,0.0
INSTALLMENT_RATE,0.0
RESIDENCE_SINCE,0.0
AGE,0.0
EXISTING_CREDIT,0.0
JOB,0.0
OBLIGORS,0.0
TELEPHONE,0.0
FOREIGN,0.0
CREDIT_HISTORY_CRITICAL_ACCOUNT,0.0
CREDIT_HISTORY_DELAYED_REPAYMENT,0.0
CREDIT_HISTORY_NO_CREDITS,0.0
CREDIT_HISTORY_PAID_BACK_OTHER_BANK,0.0
CREDIT_HISTORY_PAID_BACK_THIS_BANK,0.0
PURPOSE_BUSINESS,0.0
PURPOSE_CAR_NEW,0.0
PURPOSE_CAR_USED,0.0
HOUSING_RENT,0.0
