Feature,Importance
CREDIT_AMOUNT,0.1638
ACCOUNT_STATUS,0.1446
AGE,0.0839
DURATION,0.0716
RESIDENCE_SINCE,0.0503
EMPLOYMENT_SINCE,0.0503
SAVINGS,0.0493
OTHER_INSTALLMENTS_NONE,0.0426
GUARANTORS_NONE,0.035
PURPOSE_CAR_USED,0.0322
INSTALLMENT_RATE,0.0259
PURPOSE_RADIO_TELEVISION,0.0248
CREDIT_HISTORY_CRITICAL_ACCOUNT,0.0245
EXISTING_CREDIT,0.0219
JOB,0.0213
PROPERTY_OTHER,0.0179
PROPERTY_REAL_ESTATE,0.017
PERSONAL_STATUS_MALE_SINGLE,0.016
CREDIT_HISTORY_PAID_BACK_THIS_BANK,0.0151
PURPOSE_OTHERS,0.0124
CREDIT_HISTORY_DELAYED_REPAYMENT,0.0099
PURPOSE_CAR_NEW,0.0098
TELEPHONE,0.0088
PURPOSE_REPAIRS,0.0087
OBLIGORS,0.0086
HOUSING_OWN,0.0055
PURPOSE_EDUCATION,0.0048
PROPERTY_LIFE_INSURANCE,0.0048
OTHER_INSTALLMENTS_STORES,0.0044
PURPOSE_DOMESTIC_APPLIANCES,0.0043
CREDIT_HISTORY_PAID_BACK_OTHER_BANK,0.0037
PURPOSE_FURNITURE_EQUIPMENT,0.0034
HOUSING_RENT,0.0027
PROPERTY_UNKNOWN,0.0
FOREIGN,0.0
HOUSING_FREE,0.0
CREDIT_HISTORY_NO_CREDITS,0.0
OTHER_INSTALLMENTS_BANK,0.0
PURPOSE_RETRAINING,0.0
PERSONAL_STATUS_FEMALE_MARRIED,0.0
GUARANTORS_GUARANTOR,0.0
GUARANTORS_CO_APPLICANT,0.0
PERSONAL_STATUS_MALE_MARRIED,0.0
PERSONAL_STATUS_MALE_DIVORCED,0.0
PURPOSE_BUSINESS,0.0
