Feature,Importance
CREDIT_AMOUNT,0.146
ACCOUNT_STATUS,0.1403
AGE,0.0938
DURATION,0.0916
EMPLOYMENT_SINCE,0.0524
SAVINGS,0.046
RESIDENCE_SINCE,0.0288
INSTALLMENT_RATE,0.0277
OTHER_INSTALLMENTS_NONE,0.0223
JOB,0.022
PURPOSE_CAR_USED,0.02
PURPOSE_RADIO_TELEVISION,0.0198
OTHER_INSTALLMENTS_BANK,0.0171
CREDIT_HISTORY_CRITICAL_ACCOUNT,0.0162
EXISTING_CREDIT,0.0137
PURPOSE_CAR_NEW,0.0136
PROPERTY_REAL_ESTATE,0.0127
GUARANTORS_NONE,0.0126
OBLIGORS,0.0116
PROPERTY_OTHER,0.0114
PERSONAL_STATUS_MALE_SINGLE,0.0114
CREDIT_HISTORY_DELAYED_REPAYMENT,0.0109
TELEPHONE,0.0107
PURPOSE_BUSINESS,0.0106
PURPOSE_FURNITURE_EQUIPMENT,0.0101
CREDIT_HISTORY_PAID_BACK_OTHER_BANK,0.0097
PROPERTY_UNKNOWN,0.0097
GUARANTORS_GUARANTOR,0.0093
CREDIT_HISTORY_PAID_BACK_THIS_BANK,0.0093
PROPERTY_LIFE_INSURANCE,0.0089
PERSONAL_STATUS_FEMALE_MARRIED,0.0087
HOUSING_OWN,0.008
PURPOSE_EDUCATION,0.0072
PERSONAL_STATUS_MALE_DIVORCED,0.007
HOUSING_RENT,0.0068
FOREIGN,0.0067
PURPOSE_REPAIRS,0.0066
PERSONAL_STATUS_MALE_MARRIED,0.0062
OTHER_INSTALLMENTS_STORES,0.0054
GUARANTORS_CO_APPLICANT,0.0052
HOUSING_FREE,0.0048
CREDIT_HISTORY_NO_CREDITS,0.003
PURPOSE_OTHERS,0.0022
PURPOSE_DOMESTIC_APPLIANCES,0.0013
PURPOSE_RETRAINING,0.0008
